"","state","Year","ViolentCrimeRate_Inc","PropCrimeRate_Inc","PoliceExpenseRate_Inc","CorrectionExpenseRate_Inc"
"514","Mississippi","1988","-17.04","-3.02","0.84","16.78"
"515","Missouri","1988","-1.43","-3.01","1.02","1.46"
"516","Montana","1988","22.93","7.34","-6.69","4.83"
"517","Nebraska","1988","-8.05","0.35","-3.46","-2.05"
"518","Nevada","1988","-10.89","0.06","-0.69","-20.91"
"519","New Hampshire","1988","1.15","1.13","-6.11","-17.72"
"520","New Mexico","1988","-4.5","-0.5","3.7","-2.99"
"521","New York","1988","-8.13","-5.14","-2.7","-10.83"
"522","North Carolina","1988","-3.57","-4.46","-3.65","-6.87"
"523","North Dakota","1988","-3.89","4.02","-0.57","-18.49"
"524","Ohio","1988","-6.79","-0.93","2.22","-1.52"
"525","Oklahoma","1988","-3.89","8.8","-1.87","-15.23"
"526","Oregon","1988","-1.14","-1.28","-5.96","-8.14"
"527","Pennsylvania","1988","2.04","-0.73","1.47","-4.3"
"528","Rhode Island","1988","-9.33","2.46","-2.83","-11.87"
"529","South Carolina","1988","-10.29","-3.73","1.21","-8.07"
"530","South Dakota","1988","5.28","3.69","-0.36","7.04"
"531","Tennessee","1988","0.15","4.97","-2.72","-12"
"532","Texas","1988","-3.29","-3.72","0.61","-14.13"
"533","United States","1988","-4.39","-1.8","-1.05","-7.91"
"534","Utah","1988","-5.47","1","6.29","16.87"
"535","Vermont","1988","-4.08","0.89","-8.76","-8.59"
"536","Virginia","1988","-1.4","-5.49","-3.25","-5.1"
"537","Washington","1988","-5.77","-1.04","-2.02","2.54"
"538","West Virginia","1988","4.49","-2.56","4.89","-3.97"
"539","Wisconsin","1988","16.56","4.31","0.09","-3.4"
"540","Wyoming","1988","-9.84","2.6","4.12","3.74"
"541","Alabama","1989","-5.45","-0.84","-5.05","-7.44"
"542","Alaska","1989","5.04","2.72","7.72","-12.06"
"543","Arizona","1989","1.75","-8.03","-1.77","-1.9"
"544","Arkansas","1989","-10.77","-6.98","-3.37","-8.31"
"545","California","1989","-4.9","-1.38","9.4","8.74"
"546","Colorado","1989","0.25","2.47","0.78","-12.38"
"547","Connecticut","1989","-11.02","-2.44","-2.49","-5.58"
"548","Delaware","1989","-18.83","0.9","-2.07","-10.14"
"549","Florida","1989","0.75","1.62","-1.7","-9.1"
"550","Georgia","1989","-9.58","-10.67","-5.35","-9.38"
"551","Hawaii","1989","-4.81","-4.47","5.35","3.93"
"552","Idaho","1989","-7.82","1.68","-1.01","-24.09"
"553","Illinois","1989","-4.2","0.36","-0.61","-3.49"
"554","Indiana","1989","-6.52","-6.53","-0.98","-3.77"
"555","Iowa","1989","-3.57","0.12","-4.4","5.79"
"556","Kansas","1989","-8.88","-1.47","-1.26","-25.18"
"557","Kentucky","1989","-7.51","-5.25","-5.53","-18.22"
"558","Louisiana","1989","-8.24","-7.62","-0.82","-5.04"
"559","Maine","1989","14.72","-0.76","-2.91","-6.36"
"560","Maryland","1989","-5.68","4.05","-3.26","-5.46"
"561","Massachusetts","1989","-8.21","-2.01","-1.72","-16.52"
"562","Minnesota","1989","0.62","-1.71","-1.24","5.57"
"563","Mississippi","1989","4.5","1.98","-4.21","-19.12"
"564","Missouri","1989","-12.66","-4.5","-3.8","5.35"
"565","Montana","1989","6.03","6.76","6.92","2.42"
"566","Nebraska","1989","-2.25","1.43","0.23","-3.3"
"567","Nevada","1989","24.85","0.46","-2.07","13.19"
"568","New Hampshire","1989","-12.23","-7.05","-3.05","-31.53"
"569","New Mexico","1989","-6.51","1.33","-6.91","-5.77"
"570","New York","1989","-3","0.97","1.88","-9.49"
"571","North Carolina","1989","-8.14","-7.37","-7.94","4.39"
"572","North Dakota","1989","-6.49","6.85","-1.07","3.39"
"573","Ohio","1989","-3.54","-1.67","-3.34","7.16"
"574","Oklahoma","1989","-11.6","2.86","1.51","7.76"
"575","Oregon","1989","5.23","15.43","3.7","-15.26"
"576","Pennsylvania","1989","-4.38","-5.61","-0.63","-4.21"
"577","Rhode Island","1989","4.95","-0.81","-0.02","-16.19"
"578","South Carolina","1989","-8.91","-2.8","-8.38","-6.1"
"579","South Dakota","1989","-16.09","-3.23","1.27","-7.05"
"580","Tennessee","1989","-2.95","-0.71","-8.31","-20.18"
"581","Texas","1989","-0.9","1.33","0.46","-15.35"
"582","United States","1989","-3.94","-1.04","0.12","-5.23"
"583","Utah","1989","-6.07","-1.62","3.8","-11.78"
"584","Vermont","1989","7.15","3.6","-2.56","-3.74"
"585","Virginia","1989","-4.26","-0.55","-3.22","-3.74"
"586","Washington","1989","-1.12","8.57","-0.57","-3.05"
"587","West Virginia","1989","-10.43","-4.91","-1.09","-2.73"
"588","Wisconsin","1989","-3.68","-4.68","-0.48","-6.52"
"589","Wyoming","1989","21.56","0.62","-4.61","-17.06"
"590","Alabama","1990","-16.62","-4.03","-1.32","5.2"
"591","Alaska","1990","-5.11","-7.48","11.02","8.7"
"592","Arizona","1990","-8.09","3.09","2.04","-7.66"
"593","Arkansas","1990","-10.99","-5.83","-4.13","-16.67"
"594","California","1990","-6.46","4.09","-8.58","-11.2"
"595","Colorado","1990","-10.38","0.73","3.38","-23.43"
"596","Connecticut","1990","-7.57","-1.55","-2.09","-26.89"
"597","Delaware","1990","-15.06","-8.42","0.67","-4.86"
"598","Florida","1990","-10.84","1.7","-3.11","-9.67"
"599","Georgia","1990","-2.71","5.49","-4.77","-16.87"
"600","Hawaii","1990","-3.84","3","-8.62","-3.29"
"601","Idaho","1990","-7.65","-2.78","-6.24","19.01"
"602","Illinois","1990","-12.56","-3.51","-0.92","-7.91"
"603","Indiana","1990","-14.22","-4.18","-21","-14.48"
"604","Iowa","1990","-11.14","0.37","-4.71","-11.56"
"605","Kansas","1990","-10.48","-3.44","-6.03","-20.61"
"606","Kentucky","1990","-8.58","1.76","-0.01","1.91"
"607","Louisiana","1990","-12.98","-2.3","-3.62","5.29"
"608","Maine","1990","-4.19","-3.04","-2.62","-11.43"
"609","Maryland","1990","-6.92","-4.16","-2.42","-11.63"
"610","Massachusetts","1990","-8.33","-2.2","1.88","-20.08"
"611","Minnesota","1990","-5.82","-3.26","-3.32","2.21"
"612","Mississippi","1990","-8.58","-9.2","-0.29","-12.94"
"613","Missouri","1990","-11.56","2.03","2.28","-2.89"
"614","Montana","1990","-27.18","-10.62","-0.66","-7.37"
"615","Nebraska","1990","-15.3","-1.83","-3.6","-12.23"
"616","Nevada","1990","4.06","3.36","-1.67","-0.84"
"617","New Hampshire","1990","28.14","-2.45","-7.06","1.54"
"618","New Mexico","1990","-9.78","-0.57","-4.95","-11.27"
"619","New York","1990","-4.21","-0.4","-2.56","-7.97"
"620","North Carolina","1990","-12.37","-3.19","-3.63","-6.2"
"621","North Dakota","1990","-14.48","-12.32","2","0.05"
"622","Ohio","1990","-7.43","-1.68","-1.71","-1.42"
"623","Oklahoma","1990","-10.23","-0.79","-4.47","-17.72"
"624","Oregon","1990","2.33","9.79","-3.23","-11.87"
"625","Pennsylvania","1990","-12.16","-2.08","-4.03","-7.89"
"626","Rhode Island","1990","-12.48","-1.5","-6.87","-13.17"
"627","South Carolina","1990","-16.68","-5.19","-4.51","-0.2"
"628","South Dakota","1990","-16.77","-7.17","-6.08","-5.95"
"629","Tennessee","1990","-18.12","-9.49","-1.57","1.42"
"630","Texas","1990","-13.51","2.87","-6.19","-6.36"
"631","United States","1990","-8.59","0.67","-3.24","-8.33"
"632","Utah","1990","-8.84","0.88","-3.43","7.93"
"633","Vermont","1990","4.4","-6.12","-5.29","-6.49"
"634","Virginia","1990","-10.87","-4.67","-9.72","-10.31"
"635","Washington","1990","-5.96","7.01","0.83","-6.88"
"636","West Virginia","1990","-13.35","-5.03","-3.38","0.7"
"637","Wisconsin","1990","-15.9","-4.56","-3.13","-19.96"
"638","Wyoming","1990","-14.3","-7.13","-0.74","-10.83"
"639","Alabama","1991","-16.06","-6.96","-7.74","-3.24"
"640","Alaska","1991","-14.56","-9.03","0.93","-2.2"
"641","Arizona","1991","-2.73","7.45","0.25","-1.09"
"642","Arkansas","1991","-10.3","-5.39","-2.17","-10.85"
"643","California","1991","-4.1","-2.19","-3.21","-0.72"
"644","Colorado","1991","-5.95","0.24","-0.08","11.77"
"645","Connecticut","1991","2.59","0.18","-0.76","-26.64"
"646","Delaware","1991","-8.27","-8.73","2.62","-8.45"
"647","Florida","1991","5.07","2.77","-5.8","-4.11"
"648","Georgia","1991","2.45","4.38","0.57","-10.18"
"649","Hawaii","1991","16.17","1.7","-1.01","-6.92"
"650","Idaho","1991","-5.03","-3.18","-3.27","-5.09"
"651","Illinois","1991","-6.91","-2.46","-0.18","-13.17"
"652","Indiana","1991","-6.21","-2.39","19.63","-7.49"
"653","Iowa","1991","-1.19","-0.77","-2.8","-4.2"
"654","Kansas","1991","-10.39","-5.75","-2.23","-2.44"
"655","Kentucky","1991","-10.87","-0.38","-8.15","-2"
"656","Louisiana","1991","-5.53","2.1","-4.24","-5.1"
"657","Maine","1991","8.4","-2.23","-2.52","-7.6"
"658","Maryland","1991","-3.89","-6.5","-7.22","-2.02"
"659","Massachusetts","1991","0.03","-0.54","5.87","-0.89"
"660","Minnesota","1991","-3.13","1.26","-2.14","-5.62"
"661","Mississippi","1991","-12.52","-7.91","1.71","4.99"
"662","Missouri","1991","-6.25","-5.32","0.88","-0.37"
"663","Montana","1991","13.87","23.79","-3.74","-33.03"
"664","Nebraska","1991","-1.37","-3.39","-3.01","-9.15"
"665","Nevada","1991","-11.24","-2.83","-1.23","3.96"
"666","New Hampshire","1991","10.23","5.56","-2.83","28.25"
"667","New Mexico","1991","-6.54","1.01","-0.22","0.58"
"668","New York","1991","1.46","2.01","-0.38","-5.48"
"669","North Carolina","1991","-5.3","-7.04","-0.23","-11.17"
"670","North Dakota","1991","13","4.4","0.41","-1.51"
"671","Ohio","1991","-9.9","-2.99","-4.71","-6.04"
"672","Oklahoma","1991","-6.2","-0.66","-4.72","-6.51"
"673","Oregon","1991","0.1","-2.09","3.97","-15.18"
"674","Pennsylvania","1991","-4.22","-2.04","-4.45","-15.41"
"675","Rhode Island","1991","-6.52","7.5","-1.86","-9.23"
"676","South Carolina","1991","0.42","-2.65","-2.59","-13.97"
"677","South Dakota","1991","-10.65","-5.2","2.75","-11.99"
"678","Tennessee","1991","-7.65","-5.6","0.9","-8.29"
"679","Texas","1991","-9.37","1.24","-1.35","-2.1"
"680","United States","1991","-3.77","-1.31","-1.72","-5.15"
"681","Utah","1991","-1.01","1.04","2.05","-18.56"
"682","Vermont","1991","8.9","9.78","1.9","-7.05"
"683","Virginia","1991","-6.06","-3.41","7.05","-1.13"
"684","Washington","1991","-4.02","-1.04","-5.24","-6.19"
"685","West Virginia","1991","-11.36","-5.61","2.85","-17.61"
"686","Wisconsin","1991","-4.44","-1.4","-2.95","-9.87"
"687","Wyoming","1991","-2.84","-4.15","0.01","0.88"
"688","Alabama","1992","-3.15","2.84","-6.76","-2.94"
"689","Alaska","1992","-7.06","3.64","-2.65","2.18"
"690","Arizona","1992","-0.01","5.93","1.19","3.12"
"691","Arkansas","1992","2.91","9.47","-6.18","-4.03"
"692","California","1992","-2.66","2.21","-4.58","-1.08"
"693","Colorado","1992","-3.37","2.51","-4.87","-3.85"
"694","Connecticut","1992","8.96","5.85","-1.01","12.21"
"695","Delaware","1992","14.99","21.95","-4.68","-20.91"
"696","Florida","1992","-1.9","2.96","-1.29","-9.22"
"697","Georgia","1992","0.68","1.46","2.59","5.95"
"698","Hawaii","1992","-6.42","-2.13","-6.02","-7.59"
"699","Idaho","1992","3.16","5.14","-13.23","-14.01"
"700","Illinois","1992","6.33","6.37","-6.13","-0.17"
"701","Indiana","1992","-0.63","3.21","-4.75","-5.56"
"702","Iowa","1992","9.1","4.12","-4.61","1"
"703","Kansas","1992","-2.19","4.69","-10.56","11.12"
"704","Kentucky","1992","-18.21","4.74","5.13","1.17"
"705","Louisiana","1992","-3.41","-1.59","-7.25","-6.31"
"706","Maine","1992","0.92","7.16","1.33","-7.07"
"707","Maryland","1992","-4.39","0.55","11.13","6.38"
"708","Massachusetts","1992","-5.51","8.58","3.83","15.74"
"709","Minnesota","1992","-6.51","-1.7","-14.04","-7.56"
"710","Mississippi","1992","-5.49","-1.01","-12.73","6.19"
"711","Missouri","1992","3.05","6.79","-2.15","2.12"
"712","Montana","1992","-17.66","-20.74","-3.74","23.65"
"713","Nebraska","1992","-4.02","1.11","0.29","-6.25"
"714","Nevada","1992","-2.84","2.08","-8.76","-8.98"
"715","New Hampshire","1992","-5.09","12.65","-4.76","-43.5"
"716","New Mexico","1992","-10.71","6.28","-9.61","-0.57"
"717","New York","1992","3.73","7.27","-0.85","10.52"
"718","North Carolina","1992","-3.32","2.13","-1.11","-0.8"
"719","North Dakota","1992","-21.49","-3.24","-11.57","-17.69"
"720","Ohio","1992","6.83","8.01","-4.17","-1.94"
"721","Oklahoma","1992","-6.28","5.74","-1.85","13.87"
"722","Oregon","1992","-0.76","-1.17","-2.79","14.16"
"723","Pennsylvania","1992","5.39","4.82","-3.21","-5"
"724","Rhode Island","1992","17.11","9.42","-6.95","-6.01"
"725","South Carolina","1992","2.96","5.22","1.11","-6.68"
"726","South Dakota","1992","-6.32","3.3","-7","0.37"
"727","Tennessee","1992","-2.72","5.72","-5.06","6.44"
"728","Texas","1992","4.19","11.64","-3.87","-12.77"
"729","United States","1992","0.07","4.82","-3.64","-1.1"
"730","Utah","1992","-1.27","-0.88","-4.18","11.48"
"731","Vermont","1992","6.67","16.3","-6.56","-6.79"
"732","Virginia","1992","-0.45","7.92","-0.98","-2.46"
"733","Washington","1992","-2.23","2.54","-6.6","-32.06"
"734","West Virginia","1992","-9.69","3.09","-0.96","9.25"
"735","Wisconsin","1992","0.47","3.6","-2.15","-12.32"
"736","Wyoming","1992","-2.91","-4.16","-18.1","-5.5"
"737","Alabama","1993","11.7","7.27","2.95","0.7"
"738","Alaska","1993","-13.18","2.12","-4.11","4.98"
"739","Arizona","1993","-6.18","-5.34","9.74","7"
"740","Arkansas","1993","-2.83","-0.77","-2.07","-16.15"
"741","California","1993","3.89","3.36","2.52","6.74"
"742","Colorado","1993","2.03","8.48","6.71","7.47"
"743","Connecticut","1993","8.57","8.66","9.97","-2.5"
"744","Delaware","1993","-9.43","0.98","2.65","27.03"
"745","Florida","1993","0.1","0.08","-5.56","7.08"
"746","Georgia","1993","1.4","3.7","-7.02","-6.62"
"747","Hawaii","1993","-1.07","-2.7","-4.78","-3.23"
"748","Idaho","1993","-0.14","4.25","7.95","-2.61"
"749","Illinois","1993","1.83","2.79","0.54","-1.22"
"750","Indiana","1993","3.97","5.09","-0.85","0.19"
"751","Iowa","1993","-14.59","4.49","-0.18","-5.65"
"752","Kansas","1993","2.9","7.37","1.6","7.59"
"753","Kentucky","1993","15.73","-0.32","-1.15","-1.54"
"754","Louisiana","1993","-7.26","-3.85","0.62","-3.19"
"755","Maine","1993","4.14","12.04","4.49","16.9"
"756","Maryland","1993","0.23","2.27","4.15","-0.23"
"757","Massachusetts","1993","-3.22","3.3","-2.44","-3.62"
"758","Minnesota","1993","-4.49","4.77","8.49","-11.97"
"759","Mississippi","1993","-5.12","-2.85","11.16","1.73"
"760","Missouri","1993","-0.54","0.13","-0.88","-5.61"
"761","Montana","1993","-4.28","-4.04","-0.77","-3.39"
"762","Nebraska","1993","-7.73","1.85","-7.39","-3.47"
"763","Nevada","1993","-20.38","3.81","3.9","2.67"
"764","New Hampshire","1993","-8.78","6.78","7.99","67.54"
"765","New Mexico","1993","0.56","3.05","6.98","-9.85"
"766","New York","1993","4.53","5.77","0.28","2.96"
"767","North Carolina","1993","0.25","2.98","-0.44","-9.56"
"768","North Dakota","1993","1.34","2.99","8.95","14.58"
"769","Ohio","1993","4.32","3.98","1.84","-6.76"
"770","Oklahoma","1993","-1.89","3.21","-2.94","4.89"
"771","Oregon","1993","1.41","0.92","-2.6","4.49"
"772","Pennsylvania","1993","2.28","3.92","1.85","-1.7"
"773","Rhode Island","1993","-1.79","2.1","8.17","-3.44"
"774","South Carolina","1993","-7.71","1.41","-0.71","4.36"
"775","South Dakota","1993","-6.67","1.99","3.36","-10.34"
"776","Tennessee","1993","-2.56","-1.88","4.36","3.9"
"777","Texas","1993","5.8","10.12","-2.39","-3.69"
"778","United States","1993","1.42","3.45","1.32","1.25"
"779","Utah","1993","-3.49","8.75","-1.82","0.03"
"780","Vermont","1993","-4.12","-14.45","2.84","-16"
"781","Virginia","1993","0.73","4.82","-2.36","0.78"
"782","Washington","1993","3.87","3.69","-4.64","13.01"
"783","West Virginia","1993","1.49","3.18","2.29","0.1"
"784","Wisconsin","1993","4.27","6.69","-4.13","-5.31"
"785","Wyoming","1993","11.64","9.77","34.73","16.63"
"786","Alabama","1994","14.14","-2.87","-8.66","-8.16"
"787","Alaska","1994","-0.72","-2.72","-1.02","-1.15"
"788","Arizona","1994","1.69","-6.99","-4.01","0.83"
"789","Arkansas","1994","-0.3","0.33","-7.23","0.37"
"790","California","1994","6.4","4.23","-1","-6.36"
"791","Colorado","1994","11.32","3.13","-8.03","3.95"
"792","Connecticut","1994","0.15","2.49","-5.44","-2.2"
"793","Delaware","1994","6.46","-1.39","0.62","10.26"
"794","Florida","1994","5.16","0.59","1.17","-5.07"
"795","Georgia","1994","8.3","2.38","1.46","2.02"
"796","Hawaii","1994","-0.38","-6.27","3.36","6.32"
"797","Idaho","1994","-1.4","-6.01","-4.49","-6.35"
"798","Illinois","1994","-0.12","-0.14","-5.28","-7.15"
"799","Indiana","1994","-6.86","-2.25","-4.5","-3.32"
"800","Iowa","1994","3.3","5.43","-3.25","-1.32"
"801","Kansas","1994","12.05","1.7","-6.16","1.08"
"802","Kentucky","1994","4.21","-3.33","2.94","1.51"
"803","Louisiana","1994","8.13","1.68","-0.83","0.85"
"804","Maine","1994","-3.23","-3.65","-4.16","3.63"
"805","Maryland","1994","5.25","-1.27","-2.45","-10.45"
"806","Massachusetts","1994","13.75","9.52","-4.7","8.49"
"807","Minnesota","1994","-1.42","1.93","-0.97","0.66"
"808","Mississippi","1994","-12.11","-8.26","-9.25","-6.92"
"809","Missouri","1994","0.12","-4.67","-4.71","-1.45"
"810","Montana","1994","0.23","-4.73","-4.13","7.81"
"811","Nebraska","1994","-3","-3.65","2.44","5.48"
"812","Nevada","1994","-12.65","-6.53","0.81","7.59"
"813","New Hampshire","1994","17.98","5.45","1.94","-3.93"
"814","New Mexico","1994","4.55","0.72","-3.23","7.62"
"815","New York","1994","11.17","9.08","-0.9","0.61"
"816","North Carolina","1994","3.71","0.05","-6.28","-10.61"
"817","North Dakota","1994","0.49","3.16","0.29","1.99"
"818","Ohio","1994","3.77","0.14","-2.64","-9.76"
"819","Oklahoma","1994","-2.56","-5.27","-1.6","-0.69"
"820","Oregon","1994","-3.36","-8.89","-7.78","-4.21"
"821","Pennsylvania","1994","-2.16","0.31","-1.82","-12.43"
"822","Rhode Island","1994","6.98","9.45","-5.17","5.25"
"823","South Carolina","1994","-0.69","-1.82","-6.71","4.09"
"824","South Dakota","1994","-8.44","-4.34","-8.63","-12.96"
"825","Tennessee","1994","2.39","2.33","-6.94","-1.43"
"826","Texas","1994","7.87","9.89","1.69","-26.68"
"827","United States","1994","4.69","1.71","-2.42","-4.9"
"828","Utah","1994","-1.15","-1.2","-6.36","-1.59"
"829","Vermont","1994","17.85","22.35","2.59","42.7"
"830","Virginia","1994","4.05","1.45","1.38","-4.94"
"831","Washington","1994","0.65","-1.42","0.71","8.02"
"832","West Virginia","1994","-3.43","0.5","-14.66","-23.49"
"833","Wisconsin","1994","-2.26","3.15","-1.69","15.88"
"834","Wyoming","1994","5.03","-3.49","3.61","-5.98"
"835","Alabama","1995","8.11","0.09","0.43","-2.18"
"836","Alaska","1995","-0.6","-0.83","-0.53","-0.87"
"837","Arizona","1995","-1.46","-3.72","-1.39","-0.86"
"838","Arkansas","1995","7.57","1.59","-7.18","-8.57"
"839","California","1995","4.87","6.08","1.21","-4.72"
"840","Colorado","1995","15.77","-2.97","1.6","-8.91"
"841","Connecticut","1995","12.22","-0.12","-0.2","-0.58"
"842","Delaware","1995","-11.13","-4.25","-7.97","-19.97"
"843","Florida","1995","7.08","7.13","-4.7","-13.65"
"844","Georgia","1995","1.61","-0.07","-3.15","-2.22"
"845","Hawaii","1995","-11.3","-7.02","-2.64","2.56"
"846","Idaho","1995","-11.24","-7.06","-3.13","-9.5"
"847","Illinois","1995","-3.53","4.6","-2.38","-1.53"
"848","Indiana","1995","0.08","-0.95","-1.66","-2.28"
"849","Iowa","1995","-11.09","-10.89","-10.95","-6.16"
"850","Kansas","1995","5.3","-1.39","-3.91","0.44"
"851","Kentucky","1995","21.74","-3.14","-7.51","-3.25"
"852","Louisiana","1995","-2.53","0.36","0.97","-5.11"
"853","Maine","1995","-1.14","-0.33","-6.97","-1.33"
"854","Maryland","1995","-3.94","-2.51","-4.65","-4.84"
"855","Massachusetts","1995","2.97","2.16","-6.93","-1.01"
"856","Minnesota","1995","0.81","-3.84","0.09","-3.92"
"857","Mississippi","1995","-1.81","8.27","-14.01","-19.17"
"858","Missouri","1995","12.01","2.41","-3.18","-16.07"
"859","Montana","1995","3.33","4.66","5.31","-9.77"
"860","Nebraska","1995","1.96","-2.68","-3.17","-3.78"
"861","Nevada","1995","6","0.73","0.72","2.5"
"862","New Hampshire","1995","2.01","3.28","0.25","-2.53"
"863","New Mexico","1995","8.54","-5.53","0.74","-8.62"
"864","New York","1995","14.69","10.4","-4.91","-4.91"
"865","North Carolina","1995","1.33","-0.46","-3.27","-7.25"
"866","North Dakota","1995","-5.65","-4.52","-5.26","3.46"
"867","Ohio","1995","0.68","1.35","-7.11","-11.07"
"868","Oklahoma","1995","-1.9","-0.28","-8.59","-11.24"
"869","Oregon","1995","-0.34","-4.4","-1.66","3.84"
"870","Pennsylvania","1995","-0.14","-3.15","-2.56","-10.97"
"871","Rhode Island","1995","2.04","-3.43","-3.77","-7"
"872","South Carolina","1995","4.95","-2.19","-3.63","-3.38"
"873","South Dakota","1995","9.69","0.75","-3.95","2.39"
"874","Tennessee","1995","-3.06","-4.78","-4.49","1.78"
"875","Texas","1995","6.42","2.9","-1.24","-8.62"
"876","United States","1995","4.25","1.52","-2.28","-6.57"
"877","Utah","1995","-7.39","-13.29","-4.74","-15.89"
"878","Vermont","1995","-18.09","-4.89","-4.82","-23.84"
"879","Virginia","1995","-1.05","1.71","0.68","-10.17"
"880","Washington","1995","5.58","-4.65","0.17","-3.85"
"881","West Virginia","1995","2.66","2.87","-3.23","-16.14"
"882","Wisconsin","1995","-3.77","1.92","-0.35","-21.05"
"883","Wyoming","1995","7.2","-1.2","-1.57","4.43"
"884","Alabama","1996","11.85","-0.92","-1.52","-0.14"
"885","Alaska","1996","5.94","5.51","5.56","0.76"
"886","Arizona","1996","12.98","16.54","-0.86","2.4"
"887","Arkansas","1996","5.51","-0.89","-5.44","-2.74"
"888","California","1996","11.97","11.97","-7.59","0.47"
"889","Colorado","1996","8.83","5.14","-0.33","-4.14"
"890","Connecticut","1996","-1.48","7.38","-4.17","6.67"
"891","Delaware","1996","8.48","4.9","-5.14","1.8"
"892","Florida","1996","1.9","2.86","-0.96","1.7"
"893","Georgia","1996","2.88","-5.72","-5.68","-2.03"
"894","Hawaii","1996","5.35","9.5","9.5","6.8"
"895","Idaho","1996","20.51","8.92","-0.94","-11.53"
"896","Illinois","1996","11.87","0.68","-4.55","-1.23"
"897","Indiana","1996","-2.29","3.68","-7.66","-1.54"
"898","Iowa","1996","30.06","10.99","8.06","-3.71"
"899","Kansas","1996","1.67","4.64","-2.36","-1.12"
"900","Kentucky","1996","13.79","4.96","-1.32","-0.07"
"901","Louisiana","1996","8.43","-4.08","-4.72","0"
"902","Maine","1996","5.2","-3.55","-4.26","4.75"
"903","Maryland","1996","5.98","3.45","-5.45","3.21"
"904","Massachusetts","1996","7.01","14.38","-7.34","-4.3"
"905","Minnesota","1996","5.11","0.41","-2.54","-9.31"
"906","Mississippi","1996","2.97","-0.57","-4.16","-35.65"
"907","Missouri","1996","12.34","-0.81","-4.41","-8.87"
"908","Montana","1996","6.46","6.77","-9.9","-21.05"
"909","Nebraska","1996","-12.12","4.02","1.65","-10.24"
"910","Nevada","1996","16.5","8.75","-3.97","-2.45"
"911","New Hampshire","1996","-3.13","-6.08","-0.26","-1.26"
"912","New Mexico","1996","-2.55","-2.65","-5.81","-5.45"
"913","New York","1996","15.8","9.19","-4.57","3.15"
"914","North Carolina","1996","9.91","1.11","-3.62","0.92"
"915","North Dakota","1996","3.21","7.52","-2.95","-1.05"
"916","Ohio","1996","12.55","-2.59","-4.59","-2.92"
"917","Oklahoma","1996","11.22","-2.43","-3.53","-12.52"
"918","Oregon","1996","12.81","9.18","-7.75","-17.9"
"919","Pennsylvania","1996","-11.03","-4.5","-17.46","-9.45"
"920","Rhode Island","1996","5.99","6.31","-2.32","1.31"
"921","South Carolina","1996","-1.5","-2.6","-6.42","-7.07"
"922","South Dakota","1996","17.1","2.16","-5.21","-7.5"
"923","Tennessee","1996","-0.32","-1.8","-6.88","-2.57"
"924","Texas","1996","3.03","-0.87","-3.95","8.59"
"925","United States","1996","7.52","3.13","-4.53","-0.68"
"926","Utah","1996","-0.93","1.91","-5.12","-9.53"
"927","Vermont","1996","-2.39","15.05","-7.09","-1"
"928","Virginia","1996","5.92","0.02","-2.85","-7.18"
"929","Washington","1996","12.31","5.61","-1.13","-1.64"
"930","West Virginia","1996","0.05","-1.11","-4.28","-5.14"
"931","Wisconsin","1996","11.24","1.01","-2.2","0.84"
"932","Wyoming","1996","1.8","1.54","-5.03","-14.63"
"933","Alabama","1997","0.16","-1.63","-4.1","1.8"
"934","Alaska","1997","3.79","3.31","-1.27","0.67"
"935","Arizona","1997","1.25","-2.07","-6.01","-11.14"
"936","Arkansas","1997","-0.49","-0.4","-10.72","-13.67"
"937","California","1997","8.07","6.84","-3.22","-0.3"
"938","Colorado","1997","11.37","9.96","-3.71","-14.53"
"939","Connecticut","1997","5.4","6.18","-3.44","-3.92"
"940","Delaware","1997","-14.96","-15.42","0.12","-5.59"
"941","Florida","1997","2.68","3.17","-2.25","-4.66"
"942","Georgia","1997","5.29","9.37","-0.31","-7.21"
"943","Hawaii","1997","0.97","9.73","-3.53","-14.77"
"944","Idaho","1997","4.05","2.1","-3.86","-2.67"
"945","Illinois","1997","3.37","3.5","-2.66","-6.22"
"946","Indiana","1997","4.35","0.24","-1.09","-13.69"
"947","Iowa","1997","-12.1","-3.69","-2.74","-8.09"
"948","Kansas","1997","-3.7","-9.63","-0.46","-6.5"
"949","Kentucky","1997","1.14","1.27","-2.03","-10.15"
"950","Louisiana","1997","8.55","5.65","-8.12","-5.39"
"951","Maine","1997","3.39","8.58","-4.36","-1.75"
"952","Maryland","1997","9.99","6.75","3.84","2.96"
"953","Massachusetts","1997","-0.31","5.41","2.84","-10.09"
"954","Minnesota","1997","0.3","1.18","-4.41","-2.84"
"955","Mississippi","1997","4.12","-3.04","-7.9","2.53"
"956","Missouri","1997","2.34","6.04","-2.59","-5.82"
"957","Montana","1997","21.88","1.31","-7.04","-12.35"
"958","Nebraska","1997","-0.84","4.07","-6.84","-5.68"
"959","Nevada","1997","1.58","-1.62","-1.67","-9.47"
"960","New Hampshire","1997","4.42","7.08","-0.12","5.75"
"961","New Mexico","1997","-1.49","-4.82","-2.04","-3.77"
"962","New York","1997","5.58","5.68","-3.87","1.14"
"963","North Carolina","1997","-3.11","1.1","0.59","0.67"
"964","North Dakota","1997","-3.67","-1.49","-3.47","-13.51"
"965","Ohio","1997","-1.54","-1.17","-2.46","-4.84"
"966","Oklahoma","1997","6.72","2.45","2.78","-15.2"
